"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FTX",1.80508198671542e-72,-0.498244855038828,0.064,0.188,3.94482617376788e-68,"Delta","FTX"
"VAT1",2.28411331294626e-72,-0.261367222433118,0.028,0.136,4.99170123411276e-68,"Delta","VAT1"
"RPS12",2.92378193243551e-72,-0.456332645219358,0.342,0.535,6.38963303514456e-68,"Delta","RPS12"
"NDUFB9",3.34125291153183e-72,-0.36937838642424,0.011,0.103,7.30197411286166e-68,"Delta","NDUFB9"
"EGR1",3.63949748352957e-72,-0.56336830378569,0.043,0.161,7.95375780050551e-68,"Delta","EGR1"
"PGAM1",5.16882157123378e-72,-0.297216527080123,0.089,0.237,1.12959426617743e-67,"Delta","PGAM1"
"TOMM20",5.34615533096241e-72,-0.269233520976943,0.03,0.138,1.16834878602853e-67,"Delta","TOMM20"
"RPS3",5.91837120901605e-72,-0.482950013127397,0.286,0.499,1.29340084401837e-67,"Delta","RPS3"
"RPS6",6.64404794449165e-72,-0.465396576276796,0.224,0.427,1.45199023778921e-67,"Delta","RPS6"
"RPL22",7.2550955706072e-72,-0.295371926770601,0.135,0.307,1.5855285860005e-67,"Delta","RPL22"
"BNIP3L",7.9402863775008e-72,-0.361368919625692,0.019,0.119,1.73527018493903e-67,"Delta","BNIP3L"
"RHOB",8.07328376354793e-72,-0.480595268929369,0.015,0.111,1.76433543368576e-67,"Delta","RHOB"
"GPX1",8.70636517330643e-72,-0.445837102756382,0.022,0.124,1.90268904497439e-67,"Delta","GPX1"
"ANAPC11",9.29064971939743e-72,-0.286524756697931,0.031,0.141,2.03037858967711e-67,"Delta","ANAPC11"
"RPL23A",1.38685704399921e-71,-0.450147057870777,0.258,0.447,3.03083738395587e-67,"Delta","RPL23A"
"YWHAH",1.39703597223423e-71,-0.287178120971196,0.038,0.152,3.05308241372068e-67,"Delta","YWHAH"
"ZFAS1",1.40152495185719e-71,-0.266594542848416,0.036,0.149,3.06289262978871e-67,"Delta","ZFAS1"
"RPL13AP7",1.93646221140758e-71,-0.461622669273902,0.16,0.323,4.23194451681013e-67,"Delta","RPL13AP7"
"OS9",1.95255949725637e-71,-0.28467248280501,0.023,0.124,4.26712352530406e-67,"Delta","OS9"
"PIGT",2.25167862384416e-71,-0.302819403981457,0.022,0.122,4.92081846454904e-67,"Delta","PIGT"
"PSMB4",3.25832970065934e-71,-0.257270131915567,0.027,0.133,7.12075372782093e-67,"Delta","PSMB4"
"SRP9",3.51420281974961e-71,-0.295528953193185,0.025,0.128,7.67993884228081e-67,"Delta","SRP9"
"KTN1",3.99149613531692e-71,-0.302162377844827,0.029,0.135,8.72301565412159e-67,"Delta","KTN1"
"NACA4P",5.64218043266519e-71,-0.372117178506376,0.113,0.269,1.23304211175465e-66,"Delta","NACA4P"
"ATP5MD",6.49647325784416e-71,-0.253200464848739,0.025,0.128,1.41973926576926e-66,"Delta","ATP5MD"
